str_no_string|,
str_not_at_this_time_no|Ոչ յայսմ ժամանակի, ո՛չ:
str_s12the_great_lords_bring_their_daughters_and_sisters_to_these_occasions_to_see_and_be_seen_so_they_represent_an_excellent_opportunity_to_make_a_ladys_acquaintance|{s12}Մեծատոհմիկ տեարք բերեն զդստերս եւ զքորս իւրեանց յայսպիսի դէպս՝ տեսանել եւ տեսանիլ, վասն որոյ նոքա ընծայեն զպատեհ առիթ ծանօթանալոյ ընդ տիկնայս:
str_you_will_not_be_disappointed_sirmadam_you_will_not_find_better_warriors_in_all_calradia|Ոչ զղջասջիք {reg0?տէր:տիկին}. ոչ գտջիք զլաւագոյն մարտիկս յամենայն Կալրադիա:
str_your_excellency|ձերդ վսեմութիւն
str_s10_and_s11|{s10} եւ {s11}
str_your_loyal_subjects|հաւատարիմ հպատակք ձեր
str_loyal_subjects_of_s10|հաւատարիմ հպատակք {s10}-ի
str_the|այն
str_we|մեք
str_track_down_s7_and_defeat_him_defusing_calls_for_war_within_the_s11|Գտի՛ր զ{s7} եւ յաղթահարեա՛ զնա, զի դադարեսցին կոչք պատերազմի ի {s11}:
str_track_down_the_s9_who_attacked_travellers_near_s8_then_report_back_to_the_town|Գտի՛ր զ{s9}, որ յարձակեցաւ ի վերայ ճանապարհորդաց մօտ առ {s8}, յաղթահարեա՛ զնա եւ դարձի՛ր ի քաղաքդ տալ զզեկոյց:
str_do_you_wish_to_award_it_to_one_of_your_vassals|Կամի՞ս պարգեւել զայն միում ի հպատակաց քոց:
str_who_do_you_wish_to_give_it_to|Ո՞ւմ կամիս տալ զայն:
str_sire_my_lady_we_have_taken_s1_s2|{reg0?Տէր:Տիկին} իմ, {s1} անկաւ ի ձեռս մեր: {s2}
str_s12i_want_to_have_s1_for_myself|{s12}Կամիմ զի {s1} լիցի ինձ: {s2}
str_fiefs_s0|(կալուածք: {s0})
str_production_setting_buy_from_market|Գնեմք զնիւթսն ի շուկայէ:
str_production_setting_buy_from_inventory|Ունիմք զնիւթսն լոկ ի մթերանոցի մերում:
str_production_setting_produce_to_inventory|Զբերս մեր դնեմք ի մթերանոցի:
str_production_setting_produce_to_market|Վաճառեմք զբերս մեր ուղղակի:
str_feast_quest_expired|Ոչ կարացեր տալ զկոչունս զոր նախախորհեցար. հաւանական է զի արշաւանք կամ այլ ինչ իրք խափանեցին զայն. եթէ կամիս, փորձեա՛ դարձեալ տալ զկոչունսն:
str_whereabouts_unknown|Ուր լինելն ոչ է յայտ:
str_mulberry_groves|արտք թթենեաց
str_olive_groves|արտք ձիթենեաց
str_acres_flax|արտք վուշի
str_enterprise_enemy_realm|Տէր իմ, դուք էք թշնամի աշխարհիս այսորիկ. ոչ կարեմք ներել ձեզ գնել զկալուածս աստ:
str_you_intend_to_denounce_s14_to_s13_on_behalf_of_s12|Դու մտադիր ես ամբաստանել զ{s14} առ {s13} վասն {s12}-ի:
str_you_intend_to_denounce_s14_to_his_face_on_behalf_of_s14|Ի դրդելոյ {s12}-ի, դու մտադիր ես թշնամանել զ{s14} յանդիման նորա:
str_you_intend_to_bring_gift_for_s14|Դու մտադիր ես բերել թաւիշ եւ մորթիս վասն {s12}-ի, զի նա կարիցէ հաշտեցուցանել զնա ընդ {s14}:
str_we_will_gather_the_army_but_not_ride_until_we_have_an_objective|Մեք գումարեսցուք զբանակն, բայց ոչ հեծցուք մինչեւ ունիցիմք զնպատակ:
str_we_shall_lay_siege_to_an_easy_fortress_to_capture|Մեք պաշարեսցուք զբերդ մի՝ որոյ առումն է դիւրին:
str_we_shall_strike_at_the_heart_of_our_foe_and_seize_the_fortress_of_s14|Մեք հարուածեսցուք ի սիրտ թշնամւոյն մերոյ եւ առցուք զբերդն {s14}-ի:
str_we_shall_take_the_fortress_of_s14_which_appears_easily_defensible|Մեք առցուք զբերդն {s14}-ի, որ երեւի դիւրին ի պաշտպանել:
str_we_shall_cut_a_fiery_trail_through_their_richest_lands_to_draw_them_out_to_battle|Մեք թողցուք զհրակէզ հետս ընդ հարուստ աշխարհս նոցա՝ զի հանցուք զնոսա ի մարտ:
str_strategy_criticism_rash|Կարծեմ թէ ռազմավարութիւնդ այդ է յոյժ յանդուգն եւ մատնեսցէ զզօրս մեր ի վտանգ առանց պէտքաց:
str_strategy_criticism_cautious|Կարծեմ թէ ռազմավարութիւնդ այդ է չափազանց զգոյշ, եւ արք մեր ձանձրացցին առանց ինչ յաջողութեան:
str_tavernkeeper_invalid_quest|...զբաղեալ էր ինչ գործով, բայց դժուարանամ յիշել զմանրամասնութիւնսն:
str_faction_title_male_player|Տէր {s0}
str_faction_title_male_1|Կոմս {s0}
str_faction_title_male_2|Բոյար {s0}
str_faction_title_male_3|{s0} Նոյեան
str_faction_title_male_4|Եարլ {s0}
str_faction_title_male_5|Կոմս {s0}
str_faction_title_male_6|Ամիր {s0}
str_faction_title_female_player|Տիկին {s0}
str_faction_title_female_1|Կոմսուհի {s0}
str_faction_title_female_2|Բոյարուհի {s0}
str_faction_title_female_3|{s0} Խաթուն
str_faction_title_female_4|Տիկին {s0}
str_faction_title_female_5|Կոմսուհի {s0}
str_faction_title_female_6|Սայիտա {s0}
str_name_kingdom_text|Ո՞ր լիցի անուն թագաւորութեան մերոյ:
str_default_kingdom_name|Թագաւորութիւն {s0}-ի
str_lord_defects_ordinary|Փոխէ զկողմն... {s1} հրաժարի ի դաշնակցութենէն {s3}-ի եւ յարի առ {s2}:
str_lord_defects_player|Տէրն փոխէ զկողմն... {s1} հրաժարեցաւ ի դաշնակցութենէն {s3}-ի եւ խորհի յարիլ ի թագաւորութիւն քո. կարես մտանել ի կալուածս քո եւ ընդունել զուխտ նորա, եթէ կամիս:
str_lord_defects_player_faction|Տէրն փոխէ զկողմն... {s1} հրաժարեցաւ ի դաշնակցութենէն {s3}-ի եւ խորհի յարիլ ի թագաւորութիւն քո. կարես մտանել ի կալուածս քո եւ ընդունել զուխտ նորա, եթէ կամիս:
str_lord_indicted_player_faction|Հրամանաւ {s6}-ի, {s4} հռչակեցաւ մատնիչ հայրենեաց. տէրն գրաւեաց զամենայն կալուածս նորա, եւ նա արձակեցաւ փախչել վասն անձին իւրոյ, եւ արդ կամի յարիլ ի թագաւորութիւն քո. եթէ կամիս տեսանել զնա, նա սպասէ քեզ ի կալուածս քո՝ մատուցանել զհաւատարմութիւն իւր:
str_lord_indicted_dialog_approach|Ողջո՜յն, {reg0?տէր:տիկին} իմ. թերեւս լուեալ իցէք թէ որպիսի վատթար վարմունք կրեցի ի {s10}-է. դուք, որոյ համբաւն վասն արդարութեան առ հպատակս ձեր է հռչակեալ, եթէ ընկալջիք զիս առ ձեզ, լիցի ինձ պատիւ նուիրել զանձն իմ լինել հպատակ ձեր:
str_lord_indicted_dialog_approach_yes|Եւ ես պատուեալ եմ ընդունել զուխտ քո:
str_lord_indicted_dialog_approach_no|Ափսոսամ. ոչ ունիմ պէտս ծառայութեան քում:
str_lord_indicted_dialog_rejected|Յիրաւի՞... Արդ, թերեւս համբաւ ձեր է խաբուսիկ. բարի՛ օր ձեզ, {reg0?տէր:տիկին} իմ. երթայց խնդրել ի Կալրադիա զինքնակալ մի՝ որ առաւել երախտագէտ լիցի վասն կարողութեանց իմոց քան զձեզ:
str__has_been_worried_about_bandits_establishing_a_hideout_near_his_home|...մտահոգ է վասն աւազակաց՝ որք հիմնեն զթաքստոց մօտ առ տուն իւր:
str_bandit_lair_quest_description|{s9} պատճառէ զնեղութիւն վասն {s11}-ի. գտի՛ր զնա եւ ջնջեա՛:
str_bandit_hideout_preattack|Հասեր ի թաքստոց նոցա. {s4} որպէս թէ տակաւին ոչ նշմարեաց զքեզ, եւ դեռ կարես դառնալ աննկատ. դժուարութիւն հասանելոյ անդր... {s5}... նշանակէ զի միայն սակաւաթիւ մարտիկք կարեն յարձակիլ, եւ ի յարձակելն ոչ կարիցեն բերել զերիվարս իւրեանց. եթէ առաջին յարձակումն ձախողեսցի, {s4} փութանակի փախիցեն եւ ցրուեսցին. կամի՞ս յարձակիլ ի վերայ որջին, եթէ սպասիցես այլում պատեհութեան:
str_bandit_hideout_failure|{s4} վանեաց զյարձակումն քո. դուք նահանջէք, եւ տայք նոցա դարձեալ զառիթ սփռելոյ զչարիս ի շրջակայ գաւառս, անտարակոյս լինելով սպառնալիք վասն ճանապարհորդաց աստ:
str_bandit_hideout_success|Շնորհիւ հաստատակամ յարձակման քո, փախուստ նոցա խափանեցաւ, եւ {s4} մի ըստ միոջէ անկան. թաքստոց նոցա եւ չարամիտ նպատակք կործանեցան:
str_bandit_approach_defile|ի նեղ կիրճէ միջէ
str_bandit_approach_swamp|ընդ տիղմ ճահճաց
str_bandit_approach_thickets|ընդ խիտ թփուտս
str_bandit_approach_cliffs|ի վեր ընդ շաւիղ յեզր գահավիժի
str_bandit_approach_cove|ի վայր ընդ հուն վտակի յեզր գահավիժի
str_political_explanation_lord_lacks_center|Յայսմ դիպուածի կալուածն պարտի տալ տեառն միոջ՝ որ ոչ ունի զկալուածս եւ զեկամուտս:
str_political_explanation_lord_took_center|Յայսմ դիպուածի բերդն պարտի տալ նմա՝ որ առ զայն:
str_political_explanation_most_deserving_friend|Յայսմ դիպուածի, հայեցայ ի մերձաւոր բարեկամս եւ ի նիզակակիցս իմ, եւ վճռեցի տալ զկալուածն նմա՝ որ առաւել արժանի է:
str_political_explanation_most_deserving_in_faction|Յայսմ դիպուածի հայեցայ յամենայն տեարս թագաւորութեան եւ վճռեցի տալ զկալուածն նմա՝ որ առաւել արժանի է:
str_political_explanation_self|Քանզի ոչ գոյ այլ ոք պատշաճ թեկնածու, առաջադրեմ զանձն իմ:
str_political_explanation_marshal|Ընտրեմ ի մէջ ազնուականաց մերոց զքաջագոյնն, զորոյ ես առաւել վստահիմ եւ որ ոչ երբեք արատաւորեաց զանուն իւր:
str_prisoner_at_large|...քանզի գերեվարքն մեռան ի մարտի, կարծեմ թէ բարեկամն քո երեւեսցի փութանակի:
str_quick_battle_scene_1|Ագարակ
str_quick_battle_scene_2|Ովասիս
str_quick_battle_scene_3|Կիրճն Տուլբուկայ
str_quick_battle_scene_4|Բերդն Հայմայ
str_quick_battle_scene_5|Բերդն Ուլբասայ
str_quick_battle_troop_1|Գոյ պատճառ մի՝ վասն որոյ ոչ ոք երթայ ի քաղաքս առանց զինեալ արանց յետ մտանելոյ արեգական, եւ անուն պատճառին այդորիկ է Ռոդրիգո դէ Բրագանցա: Ճարտար մի վաճառական երազէր երթալ ի Տիհր փոքրիկ գանձու լալիւք եւ բանալ զկրպակ թաւշի, բայց ի յամառ մարտի ընդդէմ նենգաւոր գիլդիոյ վաճառականաց Ռոդոկաց՝ անկաւ ի նուաստութիւն աղքատութեան: Սակայն ապա եթող զկշիռն վասն սրոյ, եւ փոխարկեաց զառեւտրական հանճար իւր ի մեծագոյն «ընկերութիւն» յանցագործութեանց ի Վելուկա: Հասաւ նպատակին իւրում՝ առաւել քան զոր երբեմն յուսայր: Արդ յոյժ հաճութեամբ նուազեցուցանէ զերկրային կայս եւ զհոգս հին հակառակորդաց իւրոց:
str_quick_battle_troop_2|Ուսիատրա, յամս տասն եւ եւթն հասակի իւրոյ, եբարձ զիշխանութիւն ի վերայ խմբի աւազակաց ի գեղջէ միոջէ Սիրի կոչեցելոյ՝ յաշխարհի աւազուտաց արտաքոյ Կալրադիոյ: Ընդ առաջնորդութեամբ նորա, խումբ աւազակացն ընդարձակեաց զգործս իւր յաշխարհս հարաւոյ: Խորամանկութիւն նորա, յարատեւութիւն եւ անմարդկային հանդարտութիւն զուգորդեալ ընդ անգութ փառասիրութեան՝ գումարեն զբազում հետեւորդս շուրջ զնովաւ: Որպէս զանբարոյ եւ շուայտ կեանք իւր՝ նա վարէ զկեանք հիմնեալ ի վերայ բռնի յափշտակութեանց: Զօրութիւն եւ ռազմավարական հանճար նորա առնեն զնա անպարտելի յաշխարհի իւրում, եւ արդ նա հայեցի ի հարուստ աշխարհս Կալրադիոյ՝ պահել զբանակ իւր պատերազմող:
str_quick_battle_troop_3|Հեգեն, երկրորդ որդի սակաւազնիւ ոմն ազնուականի մօտ առ Ուքսհալ, կրթեցաւ ի մենամարտս եւ յարուեստ պատերազմի: Լեալ ասպետ՝ նա ծառայեաց որպէս վարձկան ի բանակի տեառն Ուքսհալայ, եւ մարտեաւ ընդդէմ Վէագիրաց յառաջ քան զառաջնորդելն գնդի հեծելազօրաց՝ որք կոտորեցին զբանակ Քերգիթաց մօտ առ Ամերէ: Յետ երկուց արշաւանաց եւ հակայարձակմանց՝ նա եհան զհամբաւ քաջութեան: Բայց ափսո՜ս, ի հաստատիլ խաղաղութեան՝ նա արձակեցաւ ի ծառայութենէ եւ եհատ առիթն յառաջադիմելոյ: Առանց յուսոյ ժառանգութեան եւ հմտութեամբքն պարապեալք ի խաղաղութեան՝ նա գումարեաց զայլ երիտասարդ մարտիկս եւ եղեւ առաջնորդ վարձկանաց: Արդ յուսայ իւրացուցանել զպահանջ վարձկանաց ի պատերազմող աշխարհս Կալրադիոյ:
str_quick_battle_troop_4|Կոնրադ է հմուտ վարձկան զինուոր ի Բալիոնէ, հեռաւոր աշխարհէն՝ որ յայնկոյս անդնդախոր արեւմտեան ովկիանոսի: Անցուցեալ զկեանք իւր ի բազում արշաւանս եւ մարտս՝ նա ծերացաւ վայելելով զկեանք արկածախնդիր զինուորի: Թէպէտ եհար զնա մական մի եւ եբարձ զռունգն նորա, նա մնաց կենդանի շնորհիւ բազկաց զօրութեան, բնատուր խորամանկութեան եւ բախտի: Լուեալ զպատեհութեանց վարձու ի Կալրադիա՝ նա վարձեաց զնաւ մի եւ ընդ արս իւր եկն ի ծովէն յուսով նոր պատերազմաց: Լինել սուր վաճառելի առանց հաւատարմութեան առ պետութիւնս Կալրադիոյ՝ լաւագոյն էր նմա քան զլինել հպատակ տեառն միոջ՝ որ պատրաստ էր տալ քսակ մի ոսկւոյ:
str_quick_battle_troop_5|Սվերրէ է ոմն ի ծովահէն աւազակաց՝ որք գան ի Յումնէ աշխարհէն յայնկոյս հիւսիսային ծովուն, զորս ասեն լինել հայրենիք Նորդաց: Որպէս պատանի՝ նա արդէն յարձակեցաւ ի վերայ գաւառին Վերչեդայ եւ ի վերայ զարմակցաց իւրոց յաշխարհի Վէագիրաց: Սակայն Սվերրէ միշտ էր զգօն այր, եւ ոչ տեւեաց երկար մինչեւ նշմարեաց զի Կալրադիա է առաւել պտղաբեր քան զերկիր իւրեանց, եւ անդ կարէ վարել զլաւագոյն կեանք: Ի յասպատակելն զՅայեկ՝ նա փախեաւ ի մէջ զօրավարաց իւրոց, որք զբաղեալ էին աւարաւ եւ գերեօք: Եթող զկեանք շինականի ի լերանցն Շալբեկայ յետս, եւ փութանակի եհան զհամբաւ խստաշունչ մարտիկի, եւ արդ խնդրէ զճանապարհ իւր որպէս առաջնորդ վարձկանաց:
str_quick_battle_troop_6|Բորիսլաւ է որսորդ ի Չարնիէ, ի հեռաւոր տունդրայից Վէագիրաց: Ողջ կեանք իւր նա որսաց զվայրի գազանս վասն մորթոց եւ մսոյ, որպէս զի արարին նախնիք նորա յառաջ քան զանվերջ պատերազմս: Արդ որսն փոխեաց զուղղութիւն իւր՝ զարհուրեալ յաղաղակաց պատերազմի եւ յայնմէ զի զինուորք կոտորեն զանասունս անտառաց առանց պատճառի: Մատնեալ ի սով՝ Բորիսլաւ վճռեցաւ զուգորդել զհմտութիւնս իւր ընդ աղեղան եւ տիգի: Յորժամ գործածէր զմականն ի վերայ գայլոց եւ արջոց, արդ արար զփորձ վասն մարդաորսութեան: Հաստատուն եւ սուր հայեցուածք նորա մարտահրաւէր կարդացին տասնեակ կենաց: Բորիսլաւ ոչ հոգայ վասն վիճաբանութեանց թագաւորութեանց, այլ միայն կամի պահել զանձն կենդանի եւ կերակրել զարս իւր:
str_quick_battle_troop_7|Ստաւրոս ծնաւ ի Զենդար, եւ անցոյց զմեծ մասն կենաց իւրոց որպէս պահապան ընդ հրամանատարութեամբ Հարեկայ: Շնորհիւ առաջնորդական ձիրք նորա եւ արիութեան՝ նա եղեւ սարսափ գետային ծովահենաց: Բայց նոյնիսկ նա ոչ կարաց արգելուլ զաղէտսն Զենդարայ: Յորժամ Զենդար կործանեցաւ ի բազմութենէ ծովահենաց, Ստաւրոս փախեաւ ի կիզեալ քաղաքէն ընդ յիմարեալ բազմութեանն: Յետ ժամանակի ինչ թափառելոյ եւ զնուաստ գործս գործելոյ՝ նա եգիտ տեղի ի խմբի վարձկանաց, եւ աստիճանաբար բարձրացաւ յառաջնորդութիւն շնորհիւ ռազմավարական հանճարոյ իւրոյ: Արդ նա առաւելապէս գործակցի ընդ մարդաորսս եւ ընդ տեղական իշխանութիւնս ընդդէմ ծովահենաց՝ ջանալով առնել զաշխարհն ապահով վասն ճանապարհորդաց:
str_quick_battle_troop_8|Գամարա, որ աճեցաւ ի թափառական տոհմի ի խորս անապատի Սառաննիդաց, ի մանկութենէ ուսաւ որսալ պարսատիկաւ եւ տիգաւ: Սակայն պարզ կեանքն եւ խիստ պայմանք անապատին ոչ գոհացուցին զնա, եւ նա տոչորէր տեսանել զայն մեծ աշխարհ՝ վասն որոյ լուեալ էր զբազում զարմանալի վէպս: Կեանք ոչ է դիւրին վասն երիտասարդ արկածախնդիր կնոջ, եւ Գամարա պարտ էր փութանակի ուսանել թէ որպէս իրքն վարին ի Կալրադիա: Առեալ զզէնս եւ զզրահս զինուորի միոջ՝ որ մարտեաւ ընդ նմա, Գամարա թագուցանէ զգեղեցկութիւն իւր ընդ հաստ հանդերձիւք Սառաննիդաց: Ոչ ոք կասկածի թէ նա է կին. որպէս զօրութիւն ի մարտադաշտի՝ նա է այնքան վտանգաւոր, որքան եւ այր ոք: Նա գումարէ զհետեւորդս իւր եւ խնդրէ զհամբաւ ի պատերազմող աշխարհս:
str_quick_battle_troop_9|Աեթրոդ ոչ է ազնուական: Նա փոխեաց զանուն իւր երկիցս եւ երեւի որպէս պատասխանատու վասն բազում յանցանաց յաշխարհի Վէագիրաց: Իրաւ իցէ թէ սուտ՝ նա պնդէ թէ ոչ երբեք եբարձ զկեանք անմեղի ոմեք եւ համարի զանձն հայրենասէր քաղաքացի, եւ ի բազում դէպս մատոյց զարս իւր ի ծառայութիւն թագաւորութեանն՝ որ էր ի վտանգի: Բայց ի հաստատիլ խաղաղութեան՝ ահարկու բնաւորութիւն նորա եւ փութկոտ շարժմունքն ստիպեն զբազում տեարս լինել զգուշաւորս մօտ առ նմա: Ծնեալ եւ աճեցեալ յարուարձանս Ռէյվադինայ՝ նա ուսաւ գործածել զաղեղն ի մանկութենէ եւ փախեաւ ի տանէ յամս տասն եւ չորից հասակի իւրոյ: Արդ յամս երեսուն եւ երկուց՝ հմտութիւն նորա ընդ աղեղան է գրեթէ կատարեալ. թէպէտ նոյնն ոչ կարէ ասիլ վասն հեծելութեան նորա, բայց նա հարուածէ զթիրախն ուղղակի յակն: Կարծր որպէս բեւեռ եւ սուր որպէս բազէ՝ նա է իսկական տեղական առասպել:
str_quick_battle_troop_10|Թէպէտ դժուար է լինել դուստր չարագոյն աւազակի ի թագաւորութեան Սառաննիդաց, Զայիրա բարւոք հոգաց զանձնէ իւրմէ: Հակառակ բազում կանանց՝ նա աճեցաւ որպէս անապատի մարտիկ եւ ունի զմահացու հմտութիւն ի գործածել զսուր եւ զաղեղն: Մինչ այլ օրիորդք նոյն հասակի ուսանէին տնտեսել զտուն, Զայիրա ուսաւ սպանանել զվաճառականս եւ առնուլ զքսակս դրամոց նոցա: Ի հասանելն յամս տասն եւ վեցից՝ Զայիրա սպանեալ էր զառաւել արս քան զփորձառու զինուոր ոք ի բանակի Սուլթանին: Յառաջ քան զքսաներորդ տարեդարձ իւր՝ հայր նորա սպանաւ ի մարտի ընդ այլում առաջնորդի աւազակաց: Լեալ միակ զաւակ՝ Զայիրա ժառանգեաց զխումբ հօր իւրոյ: Յետ վրէժխնդիր լինելոյ վասն հօր իւրոյ՝ նա շարունակէ զգործ նորա եւ բարձրացուցանէ զհամբաւ իւր որպէս առաջնորդ աւազակաց:
str_quick_battle_troop_11|Արգո Սենդնար ունէր զտարօրինակ կեանք: Ի գալն իւր ի Կալրադիա՝ նա յուսայր վաստակել որպէս վաճառական առաւել դրամս քան զոր վաստակեաց ի Լոկտի: Ոչ գիտէր թէ պատերազմող Կալրադիա էր որպէս փեթակ լի աւազակօք եւ յափշտակողօք, եւ վաճառականութիւն անդ էր յոյժ դժուարագոյն քան ի Լոկտի: Յետ խաբուելոյ յայլմէ վաճառականէ եւ կորուսանելոյ զամենայն դրամս եւ զապրանս ի ձեռս յափշտակողաց՝ նա ջանաց վաստակել զհաց իւր որպէս պահապան ի կարաւանս: Թէպէտ մարտական հմտութիւն նորա էր յոյժ վատթար, յետ ժամանակի ինչ նա եգիտ գործ ի վտանգաւոր ճանապարհս կարաւանաց: Լոկ շնորհիւ բախտի նա մնաց կենդանի, եւ յայսմ դժուարին ժամանակի ուսաւ զմարտ եւ եդէզ զդրամս ու եղեւ առաջնորդ կարաւանի, եւ սկսաւ դաշն կապել ընդ կարաւանս՝ որք գային առ նա խնդրելով զպաշտպանութիւն:
str_tutorial_training_ground_intro_message|Շրջեա՛ ի վայրի կրթութեան եւ խօսեա՛ ընդ վարժապետսն՝ ուսանել զտարբեր մարտական հնարս Mount&Blade-ի: Կարես շրջիլ ASDW ստեղնօք: Խօսելոյ վասն ընդ անձի ոմեք՝ մատի՛ր առ նա մինչեւ անուն նորա երեւեսցի ի տախտակի, եւ սեղմեա՛ զF ստեղնն: Նաեւ կարես F ստեղնաւ առնուլ զզէնս ի գետնոյ, բանալ զդրունս կամ գործածել զիրս: Յորժամ կամիցիս՝ կարես ելանել ի վայրէ կրթութեան TAB ստեղնաւ:
str_map_basic|Քարտէս
str_game_type_basic|Տեսակ Խաղոյ
str_battle|Մարտ
str_siege_offense|Յարձակում Պաշարման
str_siege_defense|Պաշտպանութիւն Պաշարման
str_character|Կերպար
str_biography|Կենսագրութիւն
str_player|Խաղացող
str_enemy|Թշնամի
str_faction|Կողմն
str_army_composition|Կազմ Բանակին
str_army_size|Չափ Բանակին
str_reg0_men|{reg0} այր
str_start|Սկիզբն
str_i_need_to_raise_some_men_before_attempting_anything_else|Պարտիմ գումարել զայլ արս յառաջ քան զսկսանիլն ինչ այլ:
str_we_are_currently_at_peace|Արդ եմք ի խաղաղութեան:
str_the_marshalship|Սպարապետութիւն
str_you|Դու
str_myself|Ես ինքն
str_my_friend_s15|Բարեկամ իմ {s15}
str_custom_battle|Յատուկ Մարտ
str_comment_intro_liege_affiliated_to_player|Լուայ թէ դու երկբայիս յայնմ թէ արժանի՞ եմ ես պսակին Կալրադիոյ. յայտ է զի լուրս այդ ոչ հաճոյ լիցի ինձ. սակայն տակաւին կարեմք խօսել:
str_s21_the_s8_declared_war_out_of_personal_enmity|{s21} {s8} ետ պատերազմ վասն անձնական թշնամութեան:
str_s21_the_s8_declared_war_in_response_to_border_provocations|{s21} {s8} ետ պատերազմ վասն յարձակման ի սահմանս:
str_s21_the_s8_declared_war_to_curb_the_other_realms_power|{s21} {s8} ետ պատերազմ վասն նուազեցուցանելոյ զզօրութիւն այլոց թագաւորութեանց:
str_s21_the_s8_declared_war_to_regain_lost_territory|{s21} {s8} ետ պատերազմ վասն վերստին ստանալոյ զկորուսեալ աշխարհս:
str__family_|^Ազգատոհմ:
str_we_are_conducting_recce|Նախ հետախուզեսցուք զվայրն, եւ ապա վճռեսցուք թէ զինչ արասցուք:
str_s49_s12_s11_end|{s49} {s12} ({s11}).
str_center_party_not_active|...ոչ է նպատակ մեր, քանզի ոչ ունիմք առաջնորդ մի՝ որ տիրէ վայրին:
str_center_is_friendly|...ոչ է թշնամի մեր:
str_center_is_already_besieged|...արդէն է պաշարեալ:
str_center_is_looted_or_raided_already|...արդէն է յափշտակեալ:
str_center_marshal_does_not_want_to_attack_innocents|...ի դէպս յարձակման՝ առաւել վնասեսցին տեղական բնակիչքն:
str_center_we_have_already_committed_too_much_time_to_our_present_siege_to_move_elsewhere|...արդէն է ի յարձակման ներքոյ, վասն որոյ թողուլ զվայրս զայս լիցի սխալանք:
str_center_we_are_already_here_we_should_at_least_loot_the_village|...մօտ է յառումն, կարեմք գրաւել զպաշարսն եւ հանգչել:
str_center_far_away_we_can_reconnoiter_but_will_delay_decision_until_we_get_close|ՈՉ ԳՈՐԾԱԾԻ
str_center_far_away_our_cautious_marshal_does_not_wish_to_reconnoiter|...է յոյժ հեռի նոյնիսկ վասն հետախուզութեան:
str_center_far_away_even_for_our_aggressive_marshal_to_reconnoiter|...է յոյժ հեռի նոյնիսկ վասն հետախուզութեան:
str_center_far_away_reason|{s6} է առաւել հեռի յաշխարհէ մերմէ քան զ{s5}, վասն որոյ յետ առնուլոյն լիցի դժուարագոյն պահել զայն:
str_center_closer_but_this_is_not_enought|{s6} է մօտագոյն ի սահմանս մեր քան զ{s5}, բայց վասն այլոց պատճառաց ոչ յարձակեսցուք ի վերայ {s6}-ի արդ:
str_center_protected_by_enemy_army_aggressive|...պաշտպանեալ է ի թշնամեաց զօրաց՝ զորս համարիմք լինել հզօրագոյն քան զմերս:
str_center_protected_by_enemy_army_cautious|...պաշտպանեալ է ի հզօրագոյն թշնամեաց զօրաց՝ որոց դիմագրաւելն ոչ տայ մեզ յոյս յաջողութեան:
str_center_cautious_marshal_believes_center_too_difficult_to_capture|...պահանջէ զարիւնահեղ եւ զվտանգալի պաշարումն:
str_center_even_aggressive_marshal_believes_center_too_difficult_to_capture|...պաշտպանեալ է այնքան հզօրապէս, զի ոչ կարէ առնուլ:
str_center_value_outweighed_by_difficulty_of_capture|...արժանի է յարձակման:
str_center_value_justifies_the_difficulty_of_capture|...է յառնելի եւ արժանի յարձակման:
str_center_is_indefensible|...է յոյժ հեռի յայլոց բերդից մերոց՝ զի կարիցեմք պաշտպանել զայն:
str_we_are_waiting_for_selection_of_marshal|Սպասեմք ընտրութեան սպարապետի:
str_best_to_attack_the_enemy_lands|Յորժամ հայիմք ի չափ զօրաց մերոց, համարիմք թէ լաւագոյն լիցի յարձակիլ յաշխարհ թշնամւոյն:
str_we_believe_the_fortress_will_be_worth_the_effort_to_take_it|Հաւատամք թէ բերդս այս արժէ զջանս մեր՝ զորս վատնեմք վասն առնուլոյ զայն:
str_we_will_gather_to_defend_the_beleaguered_fortress|Գումարեսցուք պաշտպանել զպաշարեալ բերդն մեր:
str_the_enemy_temporarily_has_the_field|Թշնամին առժամանակ տիրեաց աշխարհին, եւ մեզ պարտ է գտանել զապաստան մինչեւ անցցէ մրրիկն:
str_center_has_not_been_scouted|տակաւին ոչ է հետախուզեալ ի մենջ, բայց ի մատչիլն անդր վճռեսցուք թէ զինչ արասցուք:
str_we_have_assembled_some_vassals|Գումարեցաք զոմանս ի հպատակ տեարանց, բայց սպասեսցուք սակաւ մի եւս յառաջ քան զմտանելն յաշխարհ թշնամւոյն:
str_we_are_waiting_here_for_vassals|Սպասեմք հպատակ տեարանց՝ զի յարեսցին առ մեզ:
str_we_are_travelling_to_s11_for_vassals|Երթամք ի կողմն {s11}-ի, զի տեարքն կարիցեն դիւրաւ յարիլ առ մեզ յառաջ քան զսկսանիլ ասպատակին:
str_center_strength_not_scouted|Չեւ եմք հետախուզեալ զվայրն, վասն որոյ ոչ գիտեմք թէ որպէս պաշտպանեալ է:
str_center_strength_strongly_defended|Համարիմք թէ է քաջ պաշտպանեալ:
str_center_strength_moderately_defended|Համարիմք թէ է չափաւորապէս պաշտպանեալ:
str_center_strength_weakly_defended|Համարիմք թէ է վատթարապէս պաշտպանեալ:
