dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Կամիմ յետաձգել զկարգումն տիրոջն, մինչեւ խորհրդակցեցայց ընդ հպատակս իմ:
dlga_sigurd_quest_revenge2:sigurd_quest_revenge31|Իմ դժուարութիւնք ոչ են կապեալք ընդ ձեզ: Ես սոսկ կամիմ գտանել զՍուեն Ցլապարանոց եւ զմայր իմ:
dlga_merchant_quest_report:close_window|Գերազա՛նց! Ահա վարձք ձեր, որպէս համաձայնեցաք:
dlga_petro_leader_1:petro_leader_3|Անուն իմ է {playername}. Ես աստ եմ, զի վարեցից բանակցութիւնս ընդ ձեզ յանուն որդւոց Ռագնարայ:
dlga_start:companion_advice_v2|Տէ՛ր իմ, մեզ պարտ է յարձակել ի գիշերի: Թշնամիքն լիցին անպատրաստք:
dlga_companion_reginhard5:companion_reginhard53|Եթէ մեք խօսեսցուք ընդ Տիադերդայ վասն այսորիկ, անշուշտ նա ըմբռնեսցէ եւ ներեսցէ ձեզ: (Համոզումն)
dlga_kinghorik_quest_danmarkprot1:kinghorik_quest_danmarkprot3|Թագաւոր իմ, դուք խնդրեցէք յինէն լինել ձեր աչք եւ ականջ: Արդ ինձ յայտնի է ամենայն, քանզի ի զաւրախումբ {reg59?մերոյ տիկնոջ:մերոյ բարեկամի}, {playername}, չիք ինչ գաղտնիք: Որպէս դուք արդ գիտէք, {playername} – այն է, որ խանգարեց զծրագիրս Սիգուրդայ՝ կարգել զխամաճիկն ի գահ Ֆրիզիոյ: Բայց այն էր պատահմունք, եւ ոչ թէ կանխամտածեալ քայլ, պարզապէս {playername} խնդրէր զՍուեն Ցլապարանոց, զառաջին մարդն Սիգուրդայ, զի վրէժ լուծանիցէ վասն մաւրն, զոր Սուեն առ գերի: Ի բանակցութիւնս {playername} եւ Սիգուրդ միաբանեցան, զի {reg59?նա:նա} մատուցանէ զԲոդո Կանտաբրիացին Սիգուրդայ, իսկ նա մատնեսցէ զՍուեն եւ զմայր նորա ի դաստակերտի Ուլֆայ:
dlga_prisionero_palabrasa:prisionero_agua2|{s2}
dlga_start:horsemanship_end2|Ամենայն ինչ բարի է: Շարունակեա՛ զկրթութիւնս, եւ ժամանակաւ ելցէ ի քէն հիանալի հեծեալ:
dlga_tavernkeeper_messenger_system4:close_window|Է՜...
dlga_lair_captain:close_window|Այսքանն:
dlga_port_chief_svenlair5_1:port_chief2|Գոհանամ:
dlga_caio_morgant_conv1:caio_morgant_conv2|Կայօն ամենաբթամիտ մարդն է որում երբեւէ հանդիպեալ եմ: Ոչ գիտէ նա զպարզագոյնսն, եւ հարցանէ զյիմար հարցուածս: Ոչինչ գիտէ զմարտավարութենէ, եւ տգիտութիւն նորա մատնէ զամենեսեանս վտանգի:
dlga_morrigan_flirt4_3:morrigan_flirtreluctanceupdate|[Նա քնքշաբար համբուրէ զքեզ փոխարէն]
dlga_start:olvir_dialog|{s2}^^Անիծեա՛լ լիցիս, Օլվիր Սպիտակագլուխ, թերեւս դուք խորհէիք թէ կարէք յաղթել մեզ? Ասեն թէ դուք իմաստուն մարդ էք:
dlga_ragnarssons_3:ragnarssons_3_3|Մեք ոչնչացուցաք զպաշարաբերս Սաքսոնաց!
dlga_town_crier_talk:town_crier_news|Լուարո՛ւք! Լուարո՛ւք ամենեքեան!
dlga_start:merchant_dispute|Այս վաճառականն խաբեաց զիս! Նա վաճառեաց ինձ փտեալ ցորեան!
dlga_companion_recruit_backstory_responsebodo:companion_questions_bodo1|Որպէ՞ս յայտնեցար դու աստ:
dlga_regular_member_talk:porta_presentacion|Հէ՛յ, եւ զի՞նչ կարէք դուք ի մարտի?
dlga_maelbresail_dialog4:maelbresail_dialog5|Ձեր լուրն պարզապէս սքանչելի է: Եւ ես կամիմ վարձատրել զձեզ անձամբ, ի յաւելումն 8000 ոսկւոյն, զորս խոստացաւ ձեզ աբբայն: Մարդիկ, որք գործեն վասն իմ, պարտ ոչ են կարաւտիլ դրամոյ: Փոխանակն ես խնդրեմ միայն լինել հաւատարիմ եւ կատարել զհրամանս իմ անյապաղ:
dlga_village_elder_recruit2_1:village_elder_recruit4_3|Ահա ձեզ 300 դահեկանս վասն անհանգստութեան, զոր ես պատճառեցի ձեզ.
dlga_lord_talk:kennemerjarl_muy_angry|{s11}, Դոկկինգա փրկեալ է յինէն ի Սուենայ...
dlga_alfredthegreat7:alfredthegreat82|Դուք կարէք կործանել զմեզ, բայց յամի եկելում դանիացիք դարձցին ընդ առաւել մեծ զաւրու:
dlga_svenlair_21:svenlair_41|{playername}, առ ի ստանալ զայդ մարդիկ պարտ է խրախուսել զայնոսիկ, որք մարտեան եւ ստրկացուցին զնոսա: Եթէ նոքա պատճառեցին վնաս, ապա պարտ է թանկ վճարել վասն այնր, եւ ոչ թէ վարձատրել զնոսա վասն այնորիկ!
dlga_maelbresail_aftermorrigan12_4:maelbresail_aftermorrigan13|Ա՜հ: Ես ըմբռնեմ, դուք խռովեալ էք եւ ջանայք զարհուրեցուցանել զիս:^Գիտեմ, զի Մորրիգան այլեւս վտանգ չէ մեզ:^^Դուք պարտիք թողուլ զԻրլանդիա որչափ մարթ է փութով, ես տաց ձեզ 30 000 ոսկի, առ ի հաստատելոյ զնոր կեանք:
dlga_sigurd_quest_revenge_horik:sigurd_quest_revenge2|{s2}^^Իսկ դուք յամառ էք! Ես յուսային խուսափիլ յայսմանէ, բայց դուք տուէք զանուն... ոչ ումեք այլոյ, այլ Թագաւորին Հորիկայ:^^Անշուշտ, ես գիտեմ զանուն ձեր, {playername}: {s4} յառաջագոյն առաքեաց ինձ լուրս վասն ձեր: Դուք էք «{reg59?այն, որ սպանանէ:այն, որ սպանանէ} զԿոնունգն Ռերիկ Հեմմինգսսոն եւ որոյ աւգնութեամբ մեք գրաւեսցուք զՖրիզիա»: Ես ուրախ էի լսել զայս, բայց երէկ, {s4}, տրտմեցոյց զիս, առաքելով նոր լուրս: Ահա զինչ ասէ երեկոյեան պատգամն՝ «{playername} մատնիչ է, զգո՛յշ լերուք: {reg59?Նմա:Նմա} պիտոյ է Սուեն Ցլապարանոց եւ խօսակցութիւն ընդ ձեզ: {reg59?Նա կործանեաց:Նա կործանեաց} զմեր ծրագիրս ի Ֆրիզիա, պաշտպանելով զԴոկկինգա եւ կոտորելով զձեր վիկինգս: Սպանէ՛ք {reg59?նա:նա} ի հանդիպելն»: Դուք, երեւի, յոյժ քաջ էք, քանզի ժամանեցէք աստ:
dlga_member_give_order_disband_army|Բարի՛: Ասացից հպատակացն, զի արձակեալ են:
dlga_bjorn_quest:bjorn_quest2|Արքայն Արեւմտեան Սաքսոնաց յաւելոյ զիւր զօրութիւն: Ինձ պիտոյ է, զի դու երթիցես ի հողս նորա եւ հրձիգ առնիցես զգեւղսն, զի նա տեսցէ զմեր զօրութիւնն:
dlga_viking_pay:close_window|Հա-հա՛! Երկչո՛տ ոչխար! Փախի՛ր, մինչեւ ես ոչ փոխեցի զիմ միտս!
dlga_viking_berserker_rage_end:close_window|Դու մեռցես որպէս շուն, եւ ոչ թէ որպէս մարտիկ! Կորի՛ր!
dlga_quastuosa_serve3a:close_window|Ենթադրեմ, դու պարգեւեսցես մեզ այնպիսի հիւանդութիւնս, զի փտեսցուք որպէս պարտ է! Բարի օր եւ մնա՛ս բարեաւ!
dlga_village_elder_active_mission_2:village_elder_capture_thank|Ահա {reg5} օրիորդքն, որպէս դուք խնդրեցէք.
dlga_ulf_testigo15:ulf_testigo16_1|Այս այլ գործ է, Օ՛րմ: Բարի, ահա դրամքդ, եւ շնորհակալ եմ վասն լուծման իմոց հոգսերոց:
dlga_clovisvshegil_conv3:clovisvshegil_conv4|Հա՛: Երկչոտք: Մեք գերադասեմք լինել արիք եւ մեռեալք, փոխանակ լինելոյ խելացիք, բայց պարտեալք: Յաղթանակ կամ մա՛հ:
dlga_port_chief_bodoletter3:port_chief_bodoletter4|Ունիմ զայդքան դրամ, կա՛լ: Ո՞ւր է նա արդ:
dlga_companion_reginhard3:companion_reginhard4|{s2}^^Յորժամ ընտանիք իմ կորեաւ, ես յարեցայ յապստամբսն, առ դաժան եւ քաջ մարդիկսն, որք մարտնչին առ ի ազատելոյ զմեզ ի լծոյ Դանիացւոց: Ես կռուէի ի կողման նոցա, եւ էի երջանիկ, իւրաքանչիւր ճակատամարտ, իւրաքանչիւր աւր մազապուրծ ի մահուանէ, ստիպէին ինձ մոռանալ զայն ամենայն որ եղեւ ընդ ընտանեաց իմոց:
dlga_sigurd_quest_collect2:sigurd_quest_revenge5|Մայր քո – այն կի՞նն է, որոյ մերձեցան Աստուածք? Այո՛, Սուեն բերաւ զնա առ իս, որպէս ես խնդրեցի, եւ առ նմա էր ըմբռնեալ թուղթ յօտարութենէ: Ես խօսեցայ ընդ նմա, այսպէս է... Նա պատմեաց վասն առն ոմն Բոդո անուն, որ տուաւ նմա զայս թուղթ ի վերայ նաւու, որ կոչի «Վոդեն Ռիկ»: Ծանա՞ւթ է ձեզ այս անուն?
dlga_petro_leader_51:petro_leader_52|Ձերոց մարդկանց ոչ է պարտ վստահել, Դո՛ւքս Պետրո: Ես – Բոդո Վիմարանիզ եմ, ծնեալ ի Մալակորիոյ: Դուք ճանաչէք զիս, ես – այր եմ առ արքայական ատենի եւ ունիմ զկնիք արքայի: Ես ոչ կամէի այսպէս, բայց հարկ եղեւ... Ես իսկ եմ բանն արքայի, նա օժտեաց զիս այսու իշխանութեամբ: Իմ առաջին հրաման: {playername} եւ {reg59?նորա:նորա} նաւատորմ պարտի կորնչել ի ձեռաց նաւատորմի դաշնակցաց: Եւ տեսցո՛ւք, ո՞վ զոք!
dlga_cundwalh_historia1:cundwalh_historia2|Ես ունիմ բարի մարդիկ, զիմ beadupreat (մարտիկք): Նոքա պիղծ են, յիմարք եւ երկչոտք, բայց նոքա բարւոք կատարեն զհրամանս: Առաջինն, զոր քեզ պիտոյ է, այն են մարդիկք, որք առանց երկմտութեան կատարեսցեն զհրամանս:
dlga_raethbarth_wp_41:raethbarth_wp_42|{s2}^^Խորհիմ, զի կարեմ պատասխանել: Պատգամաւոր յիմմէ եղբաւրէ Սիգուրդայ եկն առ մեզ փոքր ինչ յետ ձերոյ ժամանման, բայց աւա՜ղ, յոյժ ուշ: Սիգուրդ ի պատգամի ծանոյց մեզ, զի մեք պարտ էաք լինել զգոյշ ընդ Սուենայ: Երեւի, ոմն սպան զեղբայր նորա, զՕլուիր Սպիտակահեր, զայր յոյժ մերձաւոր Սուենայ, իսկ Ատեանն ոչ պատժեաց զյանցաւորն: Սուեն խորհեցաւ, թէ Սիգուրդ խաբեաց զնա, քանզի նա հաւաստիացոյց նորա, զի նա ստասցի զիւր իրաւունք վրէժխնդրութեան: Վասն որոյ յառաջ քան մեկնելն նաւատորմաւ, Սուեն Ցլապարանոց ուրացաւ զերդումն հաւատարմութեան, զոր նա տուեալ էր Սիգուրդայ, եւ խոստացաւ վրէժխնդիր լինել իւրովի:
dlga_companion_embassy_results:companion_rejoin_response.8|{s12} ասէ, թէ նա ոչ հաւատայ, եթէ դուք յարգեսջիք զձեր պարտաւորութիւնս որպէս հպատակ, եւ կասկածի թէ ձեր առաջարկն սոսկ հնարք է:
dlga_start:priest_temptation|Սատանան ջանայ մոլորեցուցանել զձեզ ոսկւով եւ փառօք... Մի՛ անսայք նմա!
dlga_village_elder_recruit2_1:village_elder_recruit4_2threat|Ես եմ {playername}: Բազումք լուան զանուն իմ: Ոչ կամիք, զի ձեր մարդիկքն տուժեսցին, այնպէս չէ՞? Տո՛ւք զհրամանն վասն հաւաքագրման.
dlga_merchant_talk:merchant_quest_requested|Չիցէ՞ ինչ գործ վասն իմ:
dlga_capataz_talk:capataz_ayuda|Ես կամիմ, զի իմ ծառայք վաստակեսցեն աստ:
dlga_lord_tell_objective:lord_pretalk.14|Ես ոչ գիտեմ: {reg1} {s1} (ՍԽԱԼԱՆՔ)
dlga_abad_catach2:abad_catach4|Հա՛յր սուրբ, ես եմ {reg59?քրիստոնեայ:քրիստոնեայ}, եւ այս մատեան է յոյժ կարեւոր վասն իմ: Ես արարից նուիրատուութիւն վանաց:
dlga_addonstoryabad1_re:addonstoryabad6_1|Այսպէս ուրեմն...
dlga_trainer_combat_begin1:trainer_talk_combat1|Զի՞նչ դու կամիս գիտել?
dlga_raethbarthbodoletter_54:raethbarthbodoletter_6|Ես առաքեցի մարդիկ որոնել զՍուեն Ցլապարանոց յամենայն անկիւնս Անգլիոյ: Ես սոսկ կարեմ ասել ձեզ, զի նա ողջ մնաց ի մարտի ընդ Հարալդայ Հարալդսսոնի, բայց ոչ ոք ոչ տես զնա յայնմհետէ: Ոմանք ասեն, թէ նա ուղղեցաւ ի հարաւ իւրովք մարդկաւք:
dlga_thesnake3_dialog:thesnake4_dialog|Էէէ, պահ մի:
dlga_blacksmith_talk:blacksmith_repair|Այո՛, նորոգեա՛ զնոսա: Ես ոչ կամիմ երեւիլ որպէս մուրացկան առաջի արքայի:
dlga_kinghorik_quest_thething33:kinghorik_quest_thething33_1|Ես հրաժարիմ սպանանել զՌեգինհարդ:
dlga_kinghorik_quest_revenge53:kinghorik_quest_revenge54|Եւ զի՞նչ կայ յայսմ: Բազում եարլք ի Դանիա կատարեն զայսպիսի յարձակմունս: Մեք չէ՞ որ վիկինգք եմք! Եւ ինձ հարկ եղեւ մասնակցել յայսպիսի գործս: Յուսամ, դուք ոչ վատնէք զիմ ժամանակն ի զուր... եւ խորհեցէ՛ք, թէ զինչ ասէք:
dlga_start:viking_raid_loot|Ահա քո բաժինն աւարի: Մեք լաւ թալանեցաք զայս քաղաքն!
dlga_quastuosa_serve3a:quastuosa_pretalk1|Յանուն ամենայն աստուածոց, կի՛ն, դու որպէս պատուական դրամ ես... Ենթադրեմ, մարդիկ իմ վաստակեցին զայս:
dlga_companion_desertion:companion_encourage|Յամբերեցէ՛ք! Շուտով մեք յափշտակեսցուք զքաղաքն {s11} եւ անդ լիցի ամենայն ինչ բաւական!
dlga_companion_homesickness:companion_stay_persuade|Մեզ մնաց սակաւ ինչ մինչեւ յաղթանակն: Մի՛ լքաներ զբարեկամս քո յայսմ ժամու!
dlga_companion_duel_request_v2:duel_forbid_v2|Ո՛չ! Ես ոչ թողից ձեզ սպանանել զմիմեանս վասն դատարկ բանից!
dlga_aelfredbodoletter_4:aelfredbodoletter_53|Աւգնեցէ՛ք գտանել զդանիացին, զՍուեն Ցլապարանոց, եւ ի պարգեւէ ոչ հրաժարեցայց, դրամք հանապազ պիտոյ են:
dlga_start:village_plunder|Մի՛ սպանանէք զմեզ! Առէ՛ք զմեր անասունսն, բայց խնայեցէ՛ք զմեր կեանս!
dlga_prison_guard_report_missing:prison_guard_player_2|{reg59?Տիկի՛ն:Տէ՛ր իմ}, սոսկ զի գիտասջիք՝ մի ոմն ի ձերոց կալանաւորաց տակաւին ոչ է սթափեալ: Դուք տակաւի՞ն կամիք մտանել:
dlga_kinghorik_quest_thething29_2:kinghorik_quest_thething30|Մեք, մարտիկք {reg59?նորա:նորա} հիրդայի, վճարեսցուք զարեան գինն, եւ {playername} լիցի ազատ, զի վարեսցէ զմեզ յառաջ ի ճանապարհ յապագայ:
dlga_trainer_talk:trainer_info|Ո՞վ ոք ես դու:
dlga_start:companion_skill_improvement|Տէ՛ր իմ, ես արդ առաւել հմուտ եմ ի նետաձգութեան: Իմ նետքն ոչ վրիպեսցեն!
dlga_member_talk:morrigan_romanceoptions_f2|Տիկի՛ն, վրան իմ նման է աղքատացեալ ապարանից: Համաձայի՞ս արդեաւք ճոխացուցանել զայն:
dlga_king_heir_born:close_window|Այս է մեծագոյն աւրհնութիւն վասն մերոյ թագաւորութեան!
dlga_alfredthegreat83:alfredthegreat9|Դանիացիք ունին բազում մարդիկ ի Սնոտտինգահամ, իսկ պարիսպք նորա բարձր են: Եթէ մեք եւ կարասջուք յաղթել ի մարտի, ես հաւաստի ոչ եմ, թէ այն արժէ՞ զայդ: Բացի այդ, մեզ աստ կարեն հասանել ձմեռնային սառնամանիքք, իսկ մեք հեռի եմք ի տանէ: Որչափ եւ ծանր լիցի նոցա սովամահ լինել ի ներքս, մեզ առաւել ծանր լիցի սովամահ լինել արտաքս:
dlga_companion_recruit_backstory_responseagathinos:companion_questions_aghatinos2|Ոչ ակնկալէի տեսանել զՅոյն ի Նորվեգիա:
dlga_halfdan_ad_74:halfdan_ad_71|Մոռացարո՛ւք զդրամոց, այն չարժէ այդմ: Զկատակս ոչ ըմբռնէ՞ք?! Ինձ ոչինչ պիտոյ է, ես ընդ ձեզ եմ եւ ի հուր, եւ ի ջուր:
dlga_ulf_testigo14_1:ulf_testigo14|{s2}^^Այս մարդն – պղծութիւն է, {reg59?տիկին իմ:տէր իմ}: Նա մարտահրաւէր կարդայ ծեր անպաշտպան շինականաց, զի յափշտակեսցէ զամենայն զոր ունին նոքա: Վատթարագոյնն այն է, զի նա կամի արարել զԹորա ծառայ... եւ ո՞վ գիտէ, զինչ սպասէ մանկան նորա:
dlga_looters_2bribeg:looters_bribe13|Ոչ է կարեւոր, լոկ ընդունայն խօսք:
dlga_raethbarth_wp_73:raethbarth_wp_72|{playername}, մոլուցքն – է հիւանդութիւն, որ կլանէ զձեզ...
dlga_morrigan1_dialog9:morrigan1_dialog10|Մաէլ Բրեսաիլ գործածէ զամենեսեան, դուք ոչ առաջինն էք: Զի՞նչ ձեռնարկեսջիք այժմ?
dlga_bodo_danishcamp2:bodo_danishcamp3_2|Բարի: Ես լսեմ ձեզ:
dlga_bodo_choiceside51:bodo_choiceside6|Կարծիք ձեր հակէ զիս առ կայացուցանումն այսպիսի որոշման, Բրիւնհիլդա՛:
dlga_kinghorik_quest_thething31_2:kinghorik_quest_thething33|Որ վերաբերի գործոյ վկայի, կոչեցելոյ Ռեգինհարդ, որ մեղադրեցաւ ի ստութեան: թող Աստուածք որոշեսցեն զնորա մեղս: Նկատի ունելով ծանրութիւն մեղադրանաց, դատարանն որոշեաց, զի {playername} եւ Ռեգինհարդ պարտին հանդիպիլ ի Հոլմգանգ (մենամարտութիւն երկոցունց վիկինգաց), ի կղզւոջ, կոչեցելոյ Կարճ, յետ վեց աւուրց: Երկոքին երթիցեն անդ, բայց միայն մի դարձցի: Նա ի նոցանէ, որ ոչ երեւեսցի անդ, յայտարարեսցի նիդինգ (անարգ), էակ առանց պատուոյ, վատոգի, անարժան կոչելոյ մարդ: Եւ լուր վասն այսորիկ գուսանք եւ պատգամաւորք տարածեսցեն ընդ ողջ Դանիա եւ արտաքոյ սահմանաց նորա:
dlga_bodo_merchant_6:bodo_merchant_7|Եկայք յետոյ, ես հայիմ ի հորիզոնն, եւ լաւագոյն է ոչ շեղել զուշադրութիւնն: Ես ոչ եմ նաւապետ, բայց խորհիմ՝ կալ աստ է վատ խորհուրդ:
dlga_solveig_2conversationcamp5:solveig_2conversationcamp6|Մի՛ մեկնիր, Սոլվեյգ: Երբեք ոչ դարձցուք առ խնդիրս այս, եւ ջանացայց լռեցուցանել յիս զզգացմունքս զայսոսիկ:
dlga_start:town_market_regulation_success|Շուկան է արդ կարգաւորեալ! Վաճառականքն ոչ այլեւս խաբեն!
dlga_award_fief_to_vassal:award_fief_to_vassal_defer.1|Կամիմ յետաձգել զկարգումն տիրոջն, մինչեւ աւարտեցից գնահատել զկարեւորութիւն վայրիս այսորիկ:
dlga_viking_blood_eagle_performed_final_v3:close_window|Ձեր բարբարոսական ծէսքն ոչ զարհուրեցուցանեն զիս! Մեռի՛ր!
dlga_start:sacerdote1_action|Այո՞:
dlga_halfdan_ad_4:halfdan_ad_5|Բարի, եկայք դարձցուք առ կարեւոր գործս: Յոյժ շուտով մեք ելանեմք ի Ռեդինգամէ, զի յարձակեսցուք ի վերայ Սաքսոնաց: Որչափ առաւել յապաղեմք զյարձակումն, այնչափ առաւել նոքա ժողովեսցեն մարդիկ ի իւրեանց շարս, եւ այնչափ դժուարագոյն լիցի յաղթել նոցա: Յարձակել պարտ է անյապաղ, Թագաւորութիւն Արեւմտեան Սաքսոնաց լիցի մերն: Բազումք յայսմ հողի դողան ի տեսանելն զմեզ, եւ յոյժ երկնչին, բայց Սաքսոնք – քաջ մարդիկ են եւ նոքա ունին հզաւր Թագաւոր, ոչ այնպիսի, որպէս առ Անգլացւոց: Ի մարտի սպանցուք զնոսա – զԹագաւորն, եւ զնորա եղբայր, զԱլֆրեդ, թէպէտ եւ նա մատաղ է, բայց ոչ սակաւ վտանգաւոր է, քան զնորա եղբայր:
dlga_raethbarth_6_3:lord_pretalk|Այդպէս լիցի: Եթէ Սուեն մեղաւոր է, ես հոգացայց վասն նորա, իսկ կինն, վասն որոյ դուք խօսիք, լիցի ընդ իմով պահպանութեամբ մինչեւ ձեր դարձն:
dlga_ulf_dialog7:ulf_dialog81|{s2}^^Եթէ դու սպանանես զնա, ապա քեզ հարկ լիցի վճարել մեծ հատուցումն ընտանեաց նորա: Կամ մարդիկ նորա վրէժխնդիր լիցին քեզ եւ քոց մերձաւորաց: Զայդ կամի՞ս դու?
dlga_cundwalh_talk1:cundwalh_historia1|Այո՛, ես հետաքրքիր եմ:
dlga_elf_treasure15:elf_treasure16|Այո՛, այդպէս է, նա ունի չորս ոտս եւ չորս ստինս ի բարձից, երկու եղջիւրս եւ երկու աչս, եւ ագին կախեալ է, ժողովելով զցեխ: Ա՛ռ զվարձն քո, եւ ահա վերջին հանելուկն:
dlga_thesnake2_2_dialog:thesnake3_dialog|Միայն թշնամիք իմ կոչեն զիս «Աւձ»:^Նոյնքն, որք սպանին զընտանիք իմ:^Դուք աստ էք սպանանել զիս? Ես ոչ թաքեայց:^Ի քաղաքի գոյ տեղի վասն տեղական մրցումնաց: Սպասեմ ձեզ անդ ընդ իմոց լաւագոյն մարդկան: Եկայք եւ բերէ՛ք ընդ ձեզ զձեր հաւատարիմ ուղեկիցսն:^Մեք մարտնչեսցուք!
dlga_start:monk_sin_v2|Տէ՛ր իմ, ես գողացայ զոսկի վանաց... Խնդրեմ, մի՛ մատնէք զիս աբբային!
dlga_childsdialog_1:close_window|{s4}
dlga_bodo_carta31:bodo_carta4|{s2}^^Մի՛ հոգար, ես գիտեմ, թէ որպիսի՞ բեռն կայ ի վերայ ուսոց քոց, եւ վասն մաւր քոյ նոյնպէս: Այժմ կարեւորն այն է, զի մեք միասին եմք եւ ունիմք մեք զնամակն:
dlga_king_reward_fief:close_window|Այս է մեծ պատիւ, արքա՛յ: Ես պաշտպանեցից զայն մինչեւ ի վերջին շունչն իմ:
dlga_reginhard_mission3_1:reginhard_mission3_3|Ես ոչ հետաքրքրիմ ձերով կարծեաւք: Պատրաստեա՛ զկարասիս քո, դու շուտով թողցես զզաւրախումբն:
dlga_start:market_prices_high|Ամենայն ինչ թանկացաւ! Մարդիկ ոչ կարեն գնել նոյնիսկ աղ!
dlga_lord_homage_offer:lord_accept_vassal|Ես ընդունիմ ձեր հաւատարմութիւնն: Կացջի՛ք հաստատուն յիմում դաշինք:
dlga_pretalk:merchant_caravan_intro_1|Կա՛ց! Ո՞վք էք դուք: Զի՞նչ պիտոյ է ձեզ:
dlga_start:blocked_agent|Թուի թէ այրս զբաղեալ է: Պարտ է յառաջանալ:
dlga_morrigan_storygrandchildren2:morrigan_storygrandchildren3|Այս ոչ են բամբասանք: Ես գտի զտեղի ուր թաքչէին նոքա, եւ ասացի Մայել Բրեսաիլի:
dlga_bodo_choiceside15:close_window|Եկեալ է ժամ կանգնելոյ յուղիղ ճանապարհի: Մեք պարտիմք շարունակել զառաքելութիւնն:
dlga_start:bodo_prisoner_sl|Ողջոյն, {playername}. Ուրախ եմ տեսանել զձեզ յողջութեան: Խորհէի, թէ սպանեալ էք, յորժամ Սուէն Ցլապարանոց յարձակեցաւ ի վերայ մեր: Որպէս տեսանէք, ես ոչ էի այնպէս բարեբաղտ, որպէս դուք:
dlga_petro_leader_38_4:petro_leader_40|Մի՛ անկանիք ընդ հրապոյրս եւ ընդ շողոքորթ բանս: Յիշեցէ՛ք, շողոքորթք նման են օձի, որ երկար լիզէ զիւր զոհն, յառաջ քան կլանել զնա:
dlga_esposabarco_13:esposabarco_14|Բայց... Հայրն մեռաւ:
dlga_merchant_quest_4f:merchant_quest_4_start|Արդ... Արասցո՛ւք մեք զայս:
dlga_svenlair_41:close_window|Դուք իրաւացի էք: Մեք պատրաստիմք սպանանել զձեզ զամենեսեան!
dlga_ulf_ormvictory2:ulf_ormvictory4|Դուք վեհանձն մարդ էք: Յուսամ զի դուք մնասջիք յԱտենի ի բարի հաշուի: Տուն իմ – տուն ձեր է: Մնացէ՛ք բարեաւ:
dlga_port_r_2:close_window|Երթայց ես: Մնա՛ս բարեաւ:
dlga_companion_recruit_backstory_c:companion_recruit_backstory_responsebrunhild|{s5}
dlga_common_greet_drunkard:drunkard_talk|Է՛յ... Ը՜կ... Տո՛ւր լումայ մի վասն ըմպելոյ...
dlga_start:lord_pretalk.1|Դէ, {playername}, ես ենթադրեմ զի ոմանք յայդոցիկ աւազակաց զերծան ի ձէնջ, եւ վասն այսորիկ թանկ վճարեսցեն խաղաղասէր քաղաքացիք երկրիս այսորիկ: Այսուհանդերձ, շնորհակալ եմ զի ջանացայք:
dlga_lair_captain_nothing:lair_captain_pretalk|Ոչ այժմ:
dlga_jarlbjorn_1:jarlbjorn_2|Եղբայր իմ Սիգուրդ, խոստացաւ մեզ հազար մարդիկ: Ո՞ւր են նոքա?
dlga_dwywei_conversationcamp4_2:close_window|Շնորհակալ եմ վասն հասկացողութեան քո:
dlga_reginhard_mission3_2:close_window|{s2}^^Միշտ գոյին այլ հնարք, որք ոչ պահանջեն հնազանդութիւն կամաց այլոց մարդկան, բայց վասն այսորիկ խօսեսցուք մեք յետոյ: Մերձենայ հեծեալ ոմն ի Դոկկինգայէ...
dlga_ragnarssons_6:ragnarssons_7|Ողջոյն քեզ, պատգամաւո՛ր! Ես եմ Հալֆդան, իսկ այս են եղբարք իմ, Իվար եւ Հուբբի: Մեք յոյժ ուրախ եղեաք, գիտացեալ, զի պատգամաւորն անց ընդ սահմանս Մերսիացւոց: Որպիսի՞ լուրս բերէք դուք մեզ?
dlga_aethelred_wp_42:aethelred_wp_43.1|Սիգուրդ թէպէտ եւ է ի Դանիա, բայց նա ունի երկայն ձեռս:
dlga_frisianship_mer_2:frisianship_mer_3|Լո՛ւռ! Պահեցէ՛ք զհանգստութիւն: Մեք եմք ի վտանգի: Մինչ մեք դիտէաք զձեր մարտն, տեսանելի եղեն երկու երկայն նաւք: Արդ ես կարեմ նշմարել զդրօշն... Այս է Սուէն Ցլապարանոց! Անիծեսցին նոքա! Աղաւթեցէ՛ք ձերոց Աստուածոց! Անէ՛ծք, աղաւթեցէ՛ք ումեք եւ կամիք Աստուածոց! Կարեւորն է խուսափել ի նոցանէ, եթէ մեզ ըմբռնեսցեն, ապա այլեւս ոչ ոք մեզ աւգնեսցէ:
